state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
420000	-594705.7384352327	-29096.312424385793	-565609.4260108469	2049.060278064895	-23.0684972429774	7685.786144327238	208.66004452277951	0.0014010057030739986	7.2138893557761765	0.35956006606011376	0.18921067986743478	0.18966614595487422	0.2615631081175771	0.009958457453946041	0.009958457453946048	-565609.4260108469	0.0	-29018.313300781574
450000	-575326.4978229795	-29303.4598907983	-546023.0379321811	2053.9833817328717	-27.99160091095405	7837.09880588512	219.5426514298908	0.0014010057030739986	7.175681698769286	0.3609219731026735	0.18822331456858918	0.18976338410369414	0.26109132822504305	0.009363609675237639	0.009363609675237675	-546023.0379321811	0.0	-29228.614129430876
480000	-556326.4643086465	-29562.36035630098	-526764.1039523456	2035.7435002551663	-9.751719433248581	7979.9055548935685	229.55403704024613	0.0014010057030739986	7.129813052607577	0.36362495110931387	0.18823388738723948	0.19112766602470396	0.2570134954787426	0.008660394066336655	0.008660394066336686	-526764.1039523456	0.0	-29491.802858233303
510000	-541830.4884997777	-29863.312934190097	-511967.17556558765	2064.598816539638	-38.60703571772024	8236.918466366958	246.91236621220403	0.0014010057030739986	7.226701672358241	0.36075063879070646	0.19061265480407413	0.18764490423236638	0.2609918021728529	0.008122723133301207	0.00812272313330124	-511967.17556558765	0.0	-29794.91147085643
540000	-528576.0657183924	-30073.6941069243	-498502.3716114681	2031.3361960143955	-5.344415192477754	8330.188065538843	259.3271509470171	0.0014010057030739986	7.2625836027463375	0.3604985304965693	0.19071454843697816	0.18909743227338197	0.2596894887930705	0.007678990404649704	0.007678990404649681	-498502.3716114681	0.0	-30008.2080189971
570000	-517749.35724541807	-30201.74605621993	-487547.61118919816	2036.19600226191	-10.204221439992352	8458.241658403806	269.90387796579677	0.0014010057030739986	7.229418211708962	0.36193387547398426	0.18915923792721054	0.18855952514448052	0.26034736145432474	0.007418471118057181	0.0074184711180571555	-487547.61118919816	0.0	-30137.472539874638
600000	-507618.1711842585	-30297.473656336148	-477320.69752792234	2032.2319814893244	-6.240200667406725	8536.522972424566	279.21289008415533	0.0022143855301692827	7.23408846113471	0.3640199372341457	0.185865178302332	0.19022711425248573	0.25988777021103665	0.0070673193394130175	0.0070673193394129976	-477320.69752792234	0.0	-30235.61010740888
630000	-498188.4328589548	-30402.310455194252	-467786.12240376056	2029.691115463747	-3.6993346418294095	8637.793207973184	282.12937547970245	0.0022143855301692827	7.194401092658095	0.3651581190082881	0.18925132186653035	0.18882532088209586	0.2567652382430857	0.006875677692985822	0.006875677692985826	-467786.12240376056	0.0	-30341.404746837634
660000	-486786.86675632367	-30520.53145724387	-456266.3352990798	2030.9091326095806	-4.917351787662938	8745.080670650432	296.95282549933575	0.0022143855301692827	7.319897073749741	0.3639852135114581	0.18897838223720753	0.18965451318813056	0.25738189106320397	0.006519472076841396	0.006519472076841384	-456266.3352990798	0.0	-30461.95652365688
690000	-477993.8507868684	-30651.047764143826	-447342.8030227246	2030.331105151056	-4.339324329138208	8845.243455293272	304.01593293689064	0.0021756361694020843	7.2866595700977435	0.3633914693836266	0.18967916734879325	0.1906295193990553	0.25629984386852506	0.006257043713405327	0.006257043713405285	-447342.8030227246	0.0	-30594.151263519158
720000	-470423.2942136993	-30756.757037084008	-439666.53717661527	2030.002025182832	-4.010244360914385	8961.883753253416	312.7491592903069	0.0021756361694020843	7.068927534924344	0.36315804382055367	0.18878975228383849	0.19214254963027647	0.2559096542653316	0.006040519870248014	0.006040519870247996	-439666.53717661527	0.0	-30701.116198682685
750000	-463687.780849447	-30789.13582168288	-432898.64502776414	2030.018024913511	-4.026244091593298	9000.7874034155	302.7995137824049	0.0022449779802979908	7.2861596818952075	0.36199327332593007	0.19063926639893825	0.19142900785747394	0.2559384524176579	0.005960238167578408	0.005960238167578402	-432898.64502776414	0.0	-30733.974625942337
780000	-456944.2664401125	-30824.65301902994	-426119.61342108255	2030.6172542164572	-4.62547339453954	9061.686339461588	312.4870051994844	0.0022449779802979908	7.149156685073156	0.363207453253535	0.18903912603397383	0.19013679026856092	0.25761663044393024	0.005809484196523127	0.005809484196523147	-426119.61342108255	0.0	-30770.5104704265
810000	-449874.30805459747	-30885.221989234935	-418989.08606536256	2030.214895962444	-4.223115140526261	9125.069278691657	312.4514830858745	0.0022449779802979908	7.3282224989376905	0.3621265445457099	0.18700058592959679	0.19228007314241988	0.25859279638227334	0.00564560516777073	0.005645605167770749	-418989.08606536256	0.0	-30832.184287392858
840000	-444908.37098315766	-30966.673379899592	-413941.6976032581	2030.5972588535017	-4.605478031583971	9209.847187650892	322.69092858351314	0.0022449779802979908	7.230735348328311	0.3627049234903173	0.1902487532479236	0.1895527441129601	0.2574935791487989	0.005472808994750912	0.005472808994750921	-413941.6976032581	0.0	-30914.75823763703
