name	state
A/swine/Indiana/A00968308/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_130420	Indiana
A/swine/Ohio/12TOSU527/2012|A_/_H3N2|unassigned|2012-08-15|HA|4|EPI_ISL_131258	Ohio
A/swine/Ohio/12TOSU338/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_140907	Ohio
A/swine/Ohio/12TOSU421/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_140911	Ohio
A/swine/Ohio/12TOSU447/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_129359	Ohio
A/swine/Ohio/12TOSU450/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_129358	Ohio
A/swine/Wisconsin/A00677500/2012|A_/_H3N2|unassigned|2012-08-19|HA|4|EPI_ISL_129875	Wisconsin
A/swine/Ohio/A00152576/2012|A_/_H3N2|unassigned|2012-08-15|HA|4|EPI_ISL_129877	Ohio
A/swine/Ohio/A01208457/2012|A_/_H3N2|unassigned|2012-08-07|HA|4|EPI_ISL_129876	Ohio
A/swine/Ohio/12TOSU527/2012|A_/_H3N2|unassigned|2012-01-01|HA|4|EPI_ISL_16706690	Ohio
A/swine/Ohio/12TOSU522/2012|A_/_H3N2|unassigned|2012-08-15|HA|4|EPI_ISL_131256	Ohio
A/swine/Ohio/13TOSU1238/2013|A_/_H3N2|unassigned|2013-01-01|HA|4|EPI_ISL_16706165	Ohio
A/swine/Ohio/12TOSU447/2012|A_/_H3N2|unassigned|2012-01-01|HA|4|EPI_ISL_16706161	Ohio
A/swine/Ohio/13TOSU1238/2013|A_/_H3N2|3C.3a|2013-02-01|HA|4|EPI_ISL_16891315	Ohio
A/swine/Maryland/A01104040/2012|A_/_H3N2|unassigned|2012-08-15|HA|4|EPI_ISL_129867	Maryland
A/swine/Illinois/A01432127/2012|A_/_H3N2|unassigned|2012-10-29|HA|4|EPI_ISL_132337	Illinois
A/swine/Iowa/A01244302/2012|A_/_H3N2|unassigned|2012-11-05|HA|4|EPI_ISL_133708	Iowa
A/swine/Indiana/A01203509/2012|A_/_H3N2|unassigned|2012-05-09|HA|4|EPI_ISL_124049	Indiana
A/swine/Iowa/A01432308/2013|A_/_H3N2|unassigned|2013-01-01|HA|4|EPI_ISL_136574	Iowa
A/swine/Ohio/12TOSU411/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_140912	Ohio
A/swine/Indiana/A00968390/2012|A_/_H3N2|unassigned|2012-08-01|HA|4|EPI_ISL_130417	Indiana
