name	date
A/swine/Ohio/11SW187/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133916	2011-08-08
A/swine/Ohio/11SW197/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133922	2011-08-08
A/swine/Ohio/11SW211/2011|A_/_H3N2|unassigned|2011-08-12|HA|4|EPI_ISL_133933	2011-08-12
A/swine/Ohio/11SW347/2011|A_/_H3N2|unassigned|2011-08-19|HA|4|EPI_ISL_133955	2011-08-19
A/swine/Ohio/11SW111/2011|A_/_H3N2|unassigned|2011-06-01|HA|4|EPI_ISL_142724	2011-06-01
A/swine/Ohio/11SW93/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133874	2011-08-05
A/swine/Ohio/11SW119/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133872	2011-08-05
A/swine/Ohio/11SW97/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133878	2011-08-05
A/swine/Ohio/11SW98/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133879	2011-08-05
A/swine/Ohio/11SW166/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133900	2011-08-08
A/swine/Ohio/11SW87/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133873	2011-08-05
A/swine/Ohio/7/2012|A_/_H3N2|unassigned|2012-06-01|HA|4|EPI_ISL_123129	2012-06-01
A/swine/Ohio/9/2012|A_/_H3N2|unassigned|2012-06-01|HA|4|EPI_ISL_123128	2012-06-01
A/swine/Ohio/1/2012|A_/_H3N2|unassigned|2012-06-01|HA|4|EPI_ISL_122021	2012-06-01
A/swine/Illinois/A01203672/2012|A_/_H3N2|unassigned|2012-07-21|HA|4|EPI_ISL_129377	2012-07-21
A/swine/Illinois/A01241916/2012|A_/_H3N2|unassigned|2012-03-01|HA|4|EPI_ISL_124317	2012-03-01
A/swine/Illinois/A01241871/2012|A_/_H3N2|unassigned|2012-02-29|HA|4|EPI_ISL_124883	2012-02-29
A/swine/Illinois/A01241876/2012|A_/_H3N2|unassigned|2012-02-29|HA|4|EPI_ISL_130093	2012-02-29
A/swine/North_Carolina/A01290447/2013|A_/_H3N2|unassigned|2013-09-01|HA|4|EPI_ISL_151713	2013-09-01
